Logger,DateTime,Temp,Treatment
20719656,6/12/21 16:10,27.505,High
20719658,6/12/21 16:10,27.431,High
20946645,6/12/21 16:10,27.554,High
20946643,6/12/21 16:20,27.407,Ambient
20987159,6/12/21 16:20,27.358,Ambient
20987160,6/12/21 16:20,27.579,Ambient
20719656,6/12/21 16:20,27.505,High
20719658,6/12/21 16:20,27.456,High
20946645,6/12/21 16:20,27.579,High
20946643,6/12/21 16:30,27.431,Ambient
20987159,6/12/21 16:30,27.358,Ambient
20987160,6/12/21 16:30,27.604,Ambient
20719656,6/12/21 16:30,27.53,High
20719658,6/12/21 16:30,27.456,High
20946645,6/12/21 16:30,27.604,High
20946643,6/12/21 16:40,27.431,Ambient
20987159,6/12/21 16:40,27.382,Ambient
20987160,6/12/21 16:40,27.604,Ambient
20719656,6/12/21 16:40,27.554,High
20719658,6/12/21 16:40,27.481,High
20946645,6/12/21 16:40,27.628,High
20946643,6/12/21 16:50,27.431,Ambient
20987159,6/12/21 16:50,27.358,Ambient
20987160,6/12/21 16:50,27.604,Ambient
